"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m","VolumeFiltered_m3"
"25","in2020_v08",6,1,"Evermannella balbo",37130002,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",246,"47  06.84 S","141  22.77 E","SOTS","RMT16","Lmeso","Night",2020-12-11 11:49:00,-46.886,"11/12/2020 11:49",-140.6205,-46.8473333333333,-140.678333333333,"SOTS",2020-12-11 13:49:00,"11/12/2020 13:49",120,30.867284,3704.07408,59265.18528
"26","in2020_v08",28,17,"Notolepis coatsi",37126750,2,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish",470,"55  49.52 S","138  55.39 E","55S","RMT16","Lmeso","Day",2020-12-26 05:28:00,-54.1746666666667,"26/12/2020 5:28",-137.076833333333,-54.211,-137.1255,"55S",2020-12-26 07:28:00,"26/12/2020 7:28",120,30.867284,3704.07408,59265.18528
"27","in2020_v08",29,15,"Notolepis coatsi",37126750,1,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",523,"55  47.02 S","138  34.82 E","55S","RMT16","Lmeso","Night",2020-12-26 15:44:00,-54.2163333333333,"26/12/2020 15:44",-137.419666666667,-54.2151666666667,-137.103166666667,"55S",2020-12-26 17:44:00,"26/12/2020 17:44",120,30.867284,3704.07408,59265.18528
"28","in2020_v08",46,8,"Notolepis coatsi",37126750,1,3,"1","into","Ambient","Ethanol 70%","Plastic Bag","Fish","Fish",733,"57  55.78 S","141  30.23 E","58S","RMT16","Lmeso","Night",2021-01-06 15:11:00,-56.0703333333333,"6/01/2021 15:11",-140.496166666667,-56.0768333333333,-140.557666666667,"58S",2021-01-06 17:11:00,"6/01/2021 17:11",120,30.867284,3704.07408,59265.18528
"29","in2020_v08",30,11,"Paralepididae sp. A",37126503,3,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"30","in2020_v08",35,8,"Paralepididae - undifferentiated",37126000,0.5,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish",688,"55  49.77 S","138  26.23 E","55S","RMT16","Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"31","in2020_v08",35,49,"Paralepididae - undifferentiated",37126000,0.5,2,"small","paralepididae-","Ambient","Formaldehyde",NA,"Fish","Fish",688,"55  49.77 S","138  26.23 E","55S","RMT16","Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"32","in2020_v08",41,18,"Paralepididae - undifferentiated",37126000,2,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",694,"57  58.61 S","141  19.16 E","58S","RMT16","Lmeso","Day",2021-01-04 02:39:00,-56.0231666666667,"4/01/2021 2:39",-140.680666666667,-56.046,-140.7225,"58S",2021-01-04 04:39:00,"4/01/2021 4:39",120,30.867284,3704.07408,59265.18528
"33","in2020_v08",42,9,"Paralepididae - undifferentiated",37126000,10,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",674,"57  58.83 S","141  22.64 E","58S","RMT16","Lmeso","Night",2021-01-04 12:38:00,-56.0195,"4/01/2021 12:38",-140.622666666667,-56.0561666666667,-140.745,"58S",2021-01-04 14:38:00,"4/01/2021 14:38",120,30.867284,3704.07408,59265.18528
"34","in2020_v08",46,58,"Paralepididae - undifferentiated",37126000,NA,2,"subsample","#8","Ambient","Formaldehyde",NA,"Fish","Fish",733,"57  55.78 S","141  30.23 E","58S","RMT16","Lmeso","Night",2021-01-06 15:11:00,-56.0703333333333,"6/01/2021 15:11",-140.496166666667,-56.0768333333333,-140.557666666667,"58S",2021-01-06 17:11:00,"6/01/2021 17:11",120,30.867284,3704.07408,59265.18528
"35","in2020_v08",30,12,"Nannobrachium spp.",37122920,15,5,"lampanyctus","or","-20 degC",NA,"Plastic Bag","Fish","Fish",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"36","in2020_v08",30,13,"Nannobrachium spp.",37122920,23,4,"lampanyctus","or","-20 degC",NA,"Plastic Bag","Fish","Fish",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"37","in2020_v08",17,33,"Gymnoscopelus spp.",37122909,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",284,"47  05.07 S","141  21.91 E","SOTS","RMT16","Epi","Night",2020-12-18 11:21:00,-46.9155,"18/12/2020 11:21",-140.634833333333,-46.9163333333333,-140.643166666667,"SOTS",2020-12-18 12:01:00,"18/12/2020 12:01",40,30.867284,1234.69136,19755.06176
"38","in2020_v08",28,18,"Gymnoscopelus spp.",37122909,35,11,NA,NA,"-20 degC",NA,NA,"Fish","Fish",470,"55  49.52 S","138  55.39 E","55S","RMT16","Lmeso","Day",2020-12-26 05:28:00,-54.1746666666667,"26/12/2020 5:28",-137.076833333333,-54.211,-137.1255,"55S",2020-12-26 07:28:00,"26/12/2020 7:28",120,30.867284,3704.07408,59265.18528
"39","in2020_v08",36,17,"Gymnoscopelus spp.",37122909,6,12,NA,NA,"-20 degC",NA,NA,"Fish","Fish",708,"55  53.2 S","138  26.18 E","55S","RMT16","Lmeso","Day",2020-12-31 01:36:00,-54.1133333333333,"31/12/2020 1:36",-137.563666666667,-54.1341666666667,-137.612833333333,"55S",2020-12-31 03:36:00,"31/12/2020 3:36",120,30.867284,3704.07408,59265.18528
"40","in2020_v08",40,31,"Gymnoscopelus spp.",37122909,10,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish",699,"58  00.65 S","141  17.25 E","58S","RMT16","Meso","Night",2021-01-02 14:15:00,-57.9891666666667,"2/01/2021 14:15",-140.7125,-57.9815,-140.734333333333,"58S",2021-01-02 14:55:00,"2/01/2021 14:55",40,30.867284,1234.69136,19755.06176
"41","in2020_v08",41,21,"Gymnoscopelus spp.",37122909,16,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",694,"57  58.61 S","141  19.16 E","58S","RMT16","Lmeso","Day",2021-01-04 02:39:00,-56.0231666666667,"4/01/2021 2:39",-140.680666666667,-56.046,-140.7225,"58S",2021-01-04 04:39:00,"4/01/2021 4:39",120,30.867284,3704.07408,59265.18528
"42","in2020_v08",46,5,"Gymnoscopelus spp.",37122909,5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",733,"57  55.78 S","141  30.23 E","58S","RMT16","Lmeso","Night",2021-01-06 15:11:00,-56.0703333333333,"6/01/2021 15:11",-140.496166666667,-56.0768333333333,-140.557666666667,"58S",2021-01-06 17:11:00,"6/01/2021 17:11",120,30.867284,3704.07408,59265.18528
"43","in2020_v08",49,2,"Gymnoscopelus spp.",37122909,10,4,NA,NA,"-20 degC",NA,NA,"Fish","Fish",755,"57  53.79 S","141  34.42 E","58S","RMT16","Epi","Night",2021-01-07 14:00:00,-56.1035,"7/01/2021 14:00",-140.426333333333,-56.1016666666667,-140.451333333333,"58S",2021-01-07 14:40:00,"7/01/2021 14:40",40,30.867284,1234.69136,19755.06176
