,Message ID,Latitude,Longitude,Site,Net_Name,Deployment,Depth_Stratum,daylight,date_start,lat_decdeg_start,DateR_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,Site_stop,date_stop,DateR_stop,towtime,Speed_mpm,distance_m_byspeed,VolumeFiltered_m3_speed,Distance_gps_m,VolumeFiltered_m3_gps,Vdiff_sp_gps
31,250,47  04.74 S,141  21.9 E,SOTS,RMT16,8,Epi,Day,13/12/2020 23:31,-46.921,13/12/2020 23:31,-140.635,-46.93366667,-140.6368333,SOTS,14/12/2020 0:11,14/12/2020 0:11,40,30.867284,1234.69136,19755.06176,1415.332878,22645.32605,2890.26429
32,256,47  04.77 S,141  21.82 E,SOTS,RMT16,12,Meso,Night,14/12/2020 14:23,-46.9205,14/12/2020 14:23,-140.6363333,-46.93233333,-140.6441667,SOTS,14/12/2020 15:03,14/12/2020 15:03,40,30.867284,1234.69136,19755.06176,1444.022652,23104.36243,3349.30067
33,254,47  04.77 S,141  22.33 E,SOTS,RMT16,11,Epi,Night,14/12/2020 11:23,-46.9205,14/12/2020 11:23,-140.6278333,-46.93333333,-140.6361667,SOTS,14/12/2020 12:03,14/12/2020 12:03,40,30.867284,1234.69136,19755.06176,1561.023663,24976.37861,5221.31685
34,252,47  04.95 S,141  21.92 E,SOTS,RMT16,10,Meso,Day,14/12/2020 4:52,-46.9175,14/12/2020 4:52,-140.6346667,-46.9345,-140.6445,SOTS,14/12/2020 5:32,14/12/2020 5:32,40,30.867284,1234.69136,19755.06176,2032.463446,32519.41514,12764.35338
35,262,47  04.96 S,141  21.45 E,SOTS,RMT16,15,Epi,Day,17/12/2020 21:19,-46.91733333,17/12/2020 21:19,-140.6425,-46.929,-140.6516667,SOTS,17/12/2020 21:59,17/12/2020 21:59,40,30.867284,1234.69136,19755.06176,1472.25894,23556.14303,3801.08127
36,297,47  05 S,141  22.91 E,SOTS,RMT16,20,target_100to0m,Day,19/12/2020 7:21,-46.91666667,19/12/2020 7:21,-140.6181667,-46.91616667,-140.6278333,SOTS,19/12/2020 7:41,19/12/2020 7:41,20,30.867284,617.34568,9877.53088,736.3173513,11781.07762,1903.54674
37,287,47  05.03 S,141  20.77 E,SOTS,RMT16,18,Meso,Night,19/12/2020 14:28,-46.91616667,19/12/2020 14:28,-140.6538333,-46.91683333,-140.6106667,SOTS,19/12/2020 15:08,19/12/2020 15:08,40,30.867284,1234.69136,19755.06176,3279.484046,52471.74474,32716.68298
38,264,47  05.03 S,141  22.09 E,SOTS,RMT16,16,Meso,Day,18/12/2020 1:07,-46.91616667,18/12/2020 1:07,-140.6318333,-46.90933333,-140.6433333,SOTS,18/12/2020 1:47,18/12/2020 1:47,40,30.867284,1234.69136,19755.06176,1157.750755,18524.01208,-1231.04968
39,284,47  05.07 S,141  21.91 E,SOTS,RMT16,17,Epi,Night,18/12/2020 11:21,-46.9155,18/12/2020 11:21,-140.6348333,-46.91633333,-140.6431667,SOTS,18/12/2020 12:01,18/12/2020 12:01,40,30.867284,1234.69136,19755.06176,639.6969965,10235.15194,-9519.90982
40,289,47  05.14 S,141  21.68 E,SOTS,RMT16,19,200-100m_scattering_layer,Day,19/12/2020 4:15,-46.91433333,19/12/2020 4:15,-140.6386667,-46.91533333,-140.6495,SOTS,19/12/2020 4:35,19/12/2020 4:35,20,30.867284,617.34568,9877.53088,830.330949,13285.29518,3407.7643
41,258,47  05.41 S,141  21.78 E,SOTS,RMT16,13,Lmeso,Night,15/12/2020 11:46,-46.90983333,15/12/2020 11:46,-140.637,-46.88583333,-140.6598333,SOTS,15/12/2020 13:46,15/12/2020 13:46,120,30.867284,3704.07408,59265.18528,3183.019389,50928.31023,-8336.87505
42,260,47  05.53 S,141  21.24 E,SOTS,RMT16,14,Lmeso,Day,16/12/2020 3:20,-46.90783333,16/12/2020 3:20,-140.646,-46.88283333,-140.6848333,SOTS,16/12/2020 5:20,16/12/2020 5:20,120,30.867284,3704.07408,59265.18528,4053.91288,64862.60608,5597.4208
43,248,47  05.8 S,141  23.16 E,SOTS,RMT16,7,Lmeso,Day,12/12/2020 4:25,-46.90333333,12/12/2020 4:25,-140.614,-46.9305,-140.5763333,SOTS,12/12/2020 6:25,12/12/2020 6:25,120,30.867284,3704.07408,59265.18528,4160.510396,66568.16634,7302.98106
44,244,47  06.59 S,141  23.18 E,SOTS,RMT16,5,Epi,Night,10/12/2020 16:55,-46.89016667,10/12/2020 16:55,-140.6136667,-46.88166667,-140.6298333,SOTS,10/12/2020 17:35,10/12/2020 17:35,40,30.867284,1234.69136,19755.06176,1550.098543,24801.57669,5046.51493
45,246,47  06.84 S,141  22.77 E,SOTS,RMT16,6,Lmeso,Night,11/12/2020 11:49,-46.886,11/12/2020 11:49,-140.6205,-46.84733333,-140.6783333,SOTS,11/12/2020 13:49,11/12/2020 13:49,120,30.867284,3704.07408,59265.18528,6149.558676,98392.93882,39127.75354
46,242,47  07.17 S,141  22.36 E,SOTS,RMT16,3,Meso,Day,10/12/2020 2:28,-46.8805,10/12/2020 2:28,-140.6273333,-46.87166667,-140.644,SOTS,10/12/2020 3:08,10/12/2020 3:08,40,30.867284,1234.69136,19755.06176,1603.011516,25648.18426,5893.1225
47,240,44  45.13 S,145  22.94 E,Trawl,RMT16,1,Integrated,Day,5/12/2020 9:16,-43.24783333,5/12/2020 9:16,-144.6176667,-43.27483333,-144.6428333,Trawl,5/12/2020 10:36,5/12/2020 10:36,80,30.867284,2469.38272,39510.12352,3628.582602,58057.32164,18547.19812
