"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"137","in2020_v08",11,35,"Myctophidae - undifferentiated",37122000,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"138","in2020_v08",18,38,"Myctophidae - undifferentiated",37122000,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"139","in2020_v08",22,56,"Myctophidae - undifferentiated",37122000,0.5,1,"weight",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"140","in2020_v08",12,4,"Stomias gracilis",37112801,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"141","in2020_v08",14,43,"Stomias gracilis",37112801,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"142","in2020_v08",17,20,"Stomias gracilis",37112801,0.5,1,"weight",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"143","in2020_v08",18,1,"Stomias gracilis",37112801,3,4,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"144","in2020_v08",22,19,"Stomias gracilis",37112801,0.5,1,"weight",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"145","in2020_v08",29,16,"Stomias gracilis",37112801,41,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"146","in2020_v08",30,2,"Stomias gracilis",37112801,10,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"147","in2020_v08",31,10,"Stomias gracilis",37112801,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"148","in2020_v08",1,32,"Stomias sp.",37112501,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"149","in2020_v08",2,3,"Stomias sp.",37112501,1,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"150","in2020_v08",28,12,"Stomias sp.",37112501,10,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"151","in2020_v08",36,15,"Stomias sp.",37112501,6,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"152","in2020_v08",7,52,"Stomiidae - undifferentiated",37112000,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"153","in2020_v08",12,6,"Stomiidae - undifferentiated",37112000,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"154","in2020_v08",1,5,"Malacosteus spp.",37110902,2,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"155","in2020_v08",22,27,"Malacosteus spp.",37110902,5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"156","in2020_v08",13,35,"Astronesthes kreffti",37108019,3,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"157","in2020_v08",7,10,"Astronesthes boulengeri",37108003,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"158","in2020_v08",29,19,"Astronesthes boulengeri",37108003,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"159","in2020_v08",21,10,"Argyropelecus spp.",37107902,0.5,1,NA,NA,"Ambient","Ethanol 70%","McCarthy Vial","Fish","Fish"
