SPCODE,Species_Name,ACat
37122907,Diogenichthys spp.,FGB
37125007,Scopelosaurus herwigi,FnGB
37122044,Gonichthys barnesi,FGB
35000000,Class Ascidiacea - undifferentiated,Gel
28702905,Pseudeuphausia spp.,Crust
11089906,Rhopalonema spp.,Gel
37122045,Hygophum hanseni,FGB
28770000,Pandalidae - undifferentiated,Crust
11095902,Rosacea spp.,Gel
35010000,Cionidae - undifferentiated,Gel
37122916,Lobianchia spp.,FGB
37402000,Chiasmodontidae - undifferentiated,F
37122041,Diaphus termophilus,FGB
37114002,Xenodermichthys copei,FnGB
37220901,Ceratias spp.,F
23621908,Pterygioteuthis spp.,Ceph
11128901,Periphylla spp.,Gel
28561901,Scina spp.,Crust
12090901,Beroe spp.,Gel
28702011,Nematobrachion boopis,Crust
22300000,Class Hirudinea - undifferentiated,Other
37125902,Scopelosaurus spp.,FnGB
37227001,Macruronus novaezelandiae,FGB
28735000,Acanthephyridae - undifferentiated,Crust
37106905,Ichthyococcus spp.,FGB
28720904,Sergia spp.,Crust
37342000,Bramidae - undifferentiated,FnGB
14000000,Phylum Nemertea - undifferentiated,Other
23630006,Histioteuthis miranda,Ceph
23621013,Abraliopsis gilchristi,Ceph
28745019,Alainopasiphaea australis,Crust
23630008,Histioteuthis macrohista,Ceph
23621905,Abralia spp.,Ceph
28770027,Chlorotocus crassicornis,Crust
37400902,Kathetostoma spp.,FnGB
99901012,"misc worms [, 2016]",Other
23622901,Octopoteuthis spp.,Ceph
23617005,Sepioteuthis australis,Ceph
10036000,Siphonidiidae - undifferentiated,Gel
37264001,Cyttus traversi,FGB
37232000,Macrouridae & Bathygadidae - undifferentiated,F
23644001,Pholidoteuthis massyae,Ceph
37224001,Euclichthys polynemus,F
37067922,Congridae - undifferentiated,F
37288900,Triglidae - undifferentiated,F
37990051,Order Lampridiformes - undifferentiated,F
28702907,Thysanoessa spp.,Crust
28565901,Cystisoma spp.,Crust
28702908,Thysanopoda spp.,Crust
37131000,Scopelarchidae - undifferentiated,F
28000000,Subclass Malacostraca - undifferentiated,Crust
37288901,Lepidotrigla spp.,FGB
37439918,Gempylidae - undifferentiated,F
37279000,Macroramphosidae - undifferentiated,F
37990069,Order Scorpaeniformes - undifferentiated,F
37390000,Pinguipedidae - undifferentiated,F
37229000,Carapidae - undifferentiated,F
11093902,Chelophyes spp.,Gel
23643018,Liguriella podophthalma,Ceph
27200000,Subclass Copepoda - undifferentiated,Crust
11089000,Rhopalonematidae - undifferentiated,Gel
28702016,Nematoscelis microps,Crust
37224903,Moridae - undifferentiated,F
37122036,Diaphus meadi,FGB
28745000,Pasiphaeidae - undifferentiated,Crust
28544000,Iciliidae - undifferentiated,Crust
37107905,Sternoptyx spp.,FGB
37112000,Stomiidae - undifferentiated,F
12000000,Phylum Ctenophora - undifferentiated,Gel
37224002,Mora moro,F
37106907,Phosichthys spp.,FGB
28734000,Oplophoridae - undifferentiated,Crust
13000000,Phylum Platyhelminthes - undifferentiated,Other
37282120,Hippocampus abdominalis,F
37125002,Scopelosaurus meadi,FnGB
37106010,Diplophos rebainsi,F
37107001,Argyropelecus aculeatus,FGB
37287946,Apistidae - undifferentiated,F
37441000,Scombridae - undifferentiated,F
28700000,Order Euphausiacea - undifferentiated,Crust
24402006,Diacria trispinosa,Other
24406901,Clio spp.,Other
28583905,Oxycephalus spp.,Crust
11002000,Order Anthoathecata - undifferentiated,Gel
24404902,Cymbulia spp.,Other
28572902,Phronimella spp.,Crust
28572000,Phronimidae - undifferentiated,Crust
37122073,Diaphus kapalae,FGB
37122019,Lampanyctus australis,FGB
37254002,Diretmus argenteus,FGB
28720906,Sergestes spp.,Crust
35103906,Pegea spp.,Gel
37460922,Bothidae - undifferentiated,F
11104001,Physophora hydrostatica,Gel
11066901,Aequorea spp.,Gel
28734903,Systellaspis spp.,Crust
11123003,Atolla parva,Gel
NA,Valdiviella,Crust
NA,Euaugaptilus spp.,Crust
37251007,Sio nordenskjoldii,F
28406901,Cyphocaris spp.,Crust
37073002,Nessorhamphus ingolfianus,F
37449901,Tetragonurus spp.,F
37213001,Melanocetus johnsonii,FnGB
11120000,Class Scyphozoa - undifferentiated,Gel
37125003,Luciosudis normani,F
37232030,Bathygadus cottoides,F
37107906,Valenciennellus spp.,F
37445004,Centrolophus niger,F
11123001,Atolla vanhoeffeni,Gel
27106914,Macrocypridina spp.,Crust
28585000,Parascelidae - undifferentiated,Crust
11086902,Halicreas spp.,Gel
24181000,Carinariidae - undifferentiated,Other
11128001,Periphylla periphylla,Gel
37130002,Evermannella balbo,F
37110003,Malacosteus australis,FGB
37216904,Oneirodes spp.,F
37115001,Persparsia kopua,F
22068901,Tomopteris spp.,Other
16000000,Phylum Nematoda - undifferentiated,Other
11089903,Colobonema spp.,Gel
28710000,Penaeoidea & Caridea - undifferentiated,Crust
11091000,Abylidae - undifferentiated,Gel
28091000,Bodotriidae - undifferentiated,Crust
28825000,Infraorder Anomura - undifferentiated,Crust
27100000,Class Ostracoda - undifferentiated,Crust
37113000,Idiacanthidae - undifferentiated,F
23645001,Vampyroteuthis infernalis,Ceph
11200000,Taiaroidae - undifferentiated,Gel
11123901,Atolla spp.,Gel
37076801,Avocettina cf acuticeps,F
37126803,Magnisudis sp. B,F
37327114,Rosenblattia robusta,FGB
37113901,Idiacanthus spp.,F
99230047,"pteropods [SEF study, 1996]",Other
28715000,Sicyoniidae - undifferentiated,Crust
28579901,Brachyscelus spp.,Crust
28584904,Platyscelus spp.,Crust
28400000,Suborder Gammaridea - undifferentiated,Crust
11024902,Pandea spp.,Gel
22000000,Class Polychaeta - undifferentiated,Other
28566901,Vibilia spp.,Crust
28583906,Rhabdosoma spp.,Crust
28825906,Infraorder Anomura: Superfamily Paguroidea - undifferentiated,Crust
24407002,Styliola subula,Other
37098003,Bathylagichthys australis,FnGB
28570022,Themisto gaudichaudii,Crust
37112801,Stomias gracilis,F
12090006,Beroe forskalii,Gel
22042903,Vanadis spp.,Other
23636000,Ommastrephidae - undifferentiated,Ceph
37122016,Metelectrona ventralis,FGB
NA,eels mixed,F
23622000,Octopoteuthidae - undifferentiated,Ceph
28565000,Cystisomatidae - undifferentiated,Crust
23630000,Histioteuthidae - undifferentiated,Ceph
37122037,Diaphus metopoclampus,FGB
37098901,Bathylagichthys spp.,FGB
37122104,Electrona carlsbergi,FGB
28566000,Vibiliidae - undifferentiated,Crust
37122068,Protomyctophum subparallelum,FGB
28702024,Stylocheiron maximum,Crust
28702003,Euphausia gibba,Crust
28702034,Euphausia superba,Crust
23653000,Opisthoteuthidae - undifferentiated,Ceph
11126000,Nausithoidae - undifferentiated,Gel
28702025,Thysanoessa gregaria,Crust
24404000,Cymbuliidae - undifferentiated,Other
53120906,Ctenophora spp.,Gel
23621902,Pyroteuthidae - undifferentiated,Ceph
NA,subsample of,Crust
37122115,Hintonia candens,FGB
37107010,Valenciennellus tripunctulatus,F
37106903,Diplophos spp.,F
37449001,Tetragonurus cuvieri,FnGB
37115002,Holtbyrnia laticauda,F
37098906,Melanolagus spp.,F
NA,Sternoptyx obscura,FGB
37122096,Nannobrachium achirus,FGB
37122028,Bolinichthys supralateralis,FGB
37402001,Chiasmodon microcephalus,F
37122020,Lampanyctus intricarius,FGB
37251004,Poromitra atlantica,F
23621901,Enoploteuthidae - undifferentiated,Ceph
37251005,Scopelogadus beanii,F
37122017,Lampichthys procerus,FGB
37446006,Cubiceps baxteri,F
37122047,Lampadena notialis,FGB
37020027,Etmopterus bigelowi,FnGB
37122075,Electrona paucirastra,FGB
37122018,Gymnoscopelus piabilis,FGB
NA,Ichthyococcus elongatus,FGB
37122067,Protomyctophum normani,FGB
37446010,Cubiceps caeruleus,FnGB
37075901,Serrivomer spp.,FnGB
37108010,Borostomias antarcticus,FGB
37251904,Scopelogadus spp.,F
37108801,Astronesthes illuminatus,FnGB
37076901,Avocettina spp.,FGB
NA,Bathysphyraenops simplex,F
37130000,Evermannellidae - undifferentiated,F
37076000,Nemichthyidae - undifferentiated,F
37122084,Diaphus garmani,FGB
37257001,Anoplogaster cornuta,FGB
37107019,Sternoptyx pseudobscura,FGB
37126908,Stemonosudis spp.,F
37122063,Lampanyctus macdonaldi,FGB
37445002,Tubbia tasmanica,FnGB
37122094,Lampadena luminosa,FGB
37446008,Cubiceps pauciradiatus,F
NA,Zu elongatus,F
37109905,Melanostomias spp.,F
37109028,Opostomias micripnus,FnGB
37131005,Scopelarchus guentheri,F
37122903,Bolinichthys spp.,FGB
37343901,Caristius spp.,F
37402002,Dysalotus oligoscolus,F
37122008,Diaphus perspicillatus,FGB
37073003,Derichthys serpentinus,FGB
37213901,Melanocetus spp.,FnGB
37251903,Scopeloberyx spp.,FGB
37115007,Normichthys yahganorum,F
37130001,Coccorella atlantica,F
37251002,Melamphaes longivelis,F
37106008,Diplophos taenia,F
37109031,Photonectes braueri,F
37232041,Odontomacrurus murrayi,F
37232904,Bathygadus spp.,F
37109906,Opostomias spp.,F
NA,Argyropelecus olfersii,FGB
37122024,Benthosema suborbitale,FGB
37342001,Brama brama,FnGB
37440902,Aphanopus spp.,F
37215001,Himantolophus appelii,F
37342007,Pterycombus petersii,F
37216000,Oneirodidae - undifferentiated,F
37076001,Nemichthys curvirostris,F
37327912,Howella spp.,FGB
NA,Melamphaes eulepis,F
37114901,Alepocephalus spp.,F
37251902,Poromitra spp.,F
37445910,Tubbia spp.,F
NA,Leptostomias,F
35101000,Pyrosomatidae - undifferentiated,Gel
37220000,Ceratiidae - undifferentiated,F
37222001,Haplophryne mollis,F
37131901,Benthalbella spp.,F
37126902,Lestidiops spp.,F
37224007,Notophycis marginata,F
23645901,Vampyroteuthis spp.,Ceph
28086000,Mysidae - undifferentiated,Crust
28720001,Eusergestes antarcticus,Crust
37122033,Diaphus effulgens,FGB
37106007,Vinciguerria poweriae,F
28735007,Acanthephyra quadrispinosa,Crust
28734003,Oplophorus novaezeelandiae,Crust
37122103,Symbolophorus boops,FGB
23643902,Cranchia spp.,Ceph
37122051,Lampanyctus lepidolychnus,FGB
28583000,Oxycephalidae - undifferentiated,Crust
37122052,Lampanyctus pusillus,FGB
28720002,Parasergestes armatus,Crust
37098009,Bathylagichthys longipinnis,F
37098004,Bathylagichthys greyae,F
23643901,Bathothauma spp.,Ceph
28735034,Acanthephyra pelagica,Crust
37110001,Malacosteus niger,FnGB
37228961,Ophidiidae - undifferentiated,F
28735028,Notostomus auriculatus,Crust
37470000,Molidae - undifferentiated,F
37228960,Bythitidae - undifferentiated,F
37115000,Platytroctidae - undifferentiated,F
37122102,Protomyctophum parallelum,FGB
37251001,Scopeloberyx microlepis,F
37110902,Malacosteus spp.,F
37122106,Gymnoscopelus microlampas,FGB
NA,Poromitra megalops,F
37122069,Taaningichthys bathyphilus,FGB
37098002,Bathylagus antarcticus,F
28713007,Gennadas gilchristi,Crust
37327001,Epigonus lenimen,FGB
37232910,Hymenocephalus spp.,F
37112002,Stomias boa,FnGB
NA,Paraliparis micrurus,F
37232016,Coryphaenoides subserrulatus,FGB
37122050,Lampanyctus festivus,FGB
37122048,Lampanyctus alatus,FGB
28711920,Funchalia spp.,Crust
37122038,Diaphus mollis,FGB
NA,Bathylagichthys parini,F
NA,Nansenia tenuicauda,F
23643906,Leachia spp.,Ceph
37020012,Centroselachus crepidater,FnGB
37440901,Trichiurus spp.,F
37311949,Synagrops spp.,F
37108014,Neonesthes microcephalus,F
37020021,Etmopterus granulosus,FnGB
37266001,Neocyttus rhomboidalis,FGB
28720018,Deosergestes disjunctus,Crust
28745008,Parapasiphae sulcatifrons,Crust
28720030,Deosergestes corniculum,Crust
NA,Bathylagus gracilis,F
37232919,Mesovagus spp.,F
37076903,Nemichthys spp.,FnGB
28734004,Oplophorus spinosus,Crust
37107016,Polyipnus ruggeri,F
37097002,Microstoma australis,F
NA,Opisthoproctus soleatus,F
37108901,Astronesthes spp.,FnGB
37107008,Polyipnus aquavitus,F
23633901,Chtenopteryx spp.,Ceph
37106904,Gonostoma spp.,F
28720003,Sergestes atlanticus,Crust
37130902,Evermannella spp.,F
23623905,Onychoteuthis spp.,Ceph
23634000,Brachioteuthidae - undifferentiated,Ceph
37402903,Kali spp.,F
37131904,Scopelarchus spp.,F
