"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"57","in2020_v08",36,56,"Salpa spp.",35103908,12,5,"probs","S","-20 degC",NA,NA,"Tunicates","Gelatinous"
"58","in2020_v08",3,4,"Soestia zonaria",35103016,8,2,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"59","in2020_v08",5,9,"Soestia zonaria",35103016,18,5,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"60","in2020_v08",8,9,"Soestia zonaria",35103016,5,7,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"61","in2020_v08",11,9,"Soestia zonaria",35103016,5,25,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"62","in2020_v08",13,14,"Soestia zonaria",35103016,2,1,NA,NA,"-20 degC",NA,"Plastic bucket","Tunicates","Gelatinous"
"63","in2020_v08",14,4,"Soestia zonaria",35103016,75,38,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"64","in2020_v08",16,12,"Soestia zonaria",35103016,0.5,2,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"65","in2020_v08",17,7,"Soestia zonaria",35103016,7,3,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"66","in2020_v08",22,43,"Soestia zonaria",35103016,46,10,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"67","in2020_v08",23,2,"Salpa fusiformis",35103014,12,12,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"68","in2020_v08",24,9,"Salpa fusiformis",35103014,5,3,"aggregate","form","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"69","in2020_v08",28,35,"Salpa fusiformis",35103014,35,9,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"70","in2020_v08",29,55,"Salpa fusiformis",35103014,12,4,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"71","in2020_v08",30,42,"Salpa fusiformis",35103014,70,40,"aggregate","form","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"72","in2020_v08",31,3,"Salpa fusiformis",35103014,28,18,"aggregate",NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"73","in2020_v08",32,3,"Salpa fusiformis",35103014,110,36,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"74","in2020_v08",33,2,"Salpa fusiformis",35103014,36,37,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"75","in2020_v08",34,7,"Salpa fusiformis",35103014,30,13,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"76","in2020_v08",35,46,"Salpa fusiformis",35103014,85,18,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"77","in2020_v08",36,52,"Salpa fusiformis",35103014,2,4,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"78","in2020_v08",37,9,"Salpa fusiformis",35103014,60,27,"See","#35","-20 degC",NA,NA,"Tunicates","Gelatinous"
"79","in2020_v08",38,7,"Salpa fusiformis",35103014,107,27,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"80","in2020_v08",39,4,"Salpa fusiformis",35103014,216,133,"aggregate",NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"81","in2020_v08",40,5,"Salpa fusiformis",35103014,19,22,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"82","in2020_v08",41,24,"Salpa fusiformis",35103014,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
