"","Message ID","Latitude","Longitude","Site","Net_Name","Deployment","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m_byspeed","VolumeFiltered_m3_speed"
"36",297,"47  05 S","141  22.91 E","SOTS","RMT16",20,"target_100to0m","Day",2020-12-19 07:21:00,-46.9166666666667,"19/12/2020 7:21",-140.618166666667,-46.9161666666667,-140.627833333333,"SOTS",2020-12-19 07:41:00,"19/12/2020 7:41",20,30.867284,617.34568,9877.53088
"37",287,"47  05.03 S","141  20.77 E","SOTS","RMT16",18,"Meso","Night",2020-12-19 14:28:00,-46.9161666666667,"19/12/2020 14:28",-140.653833333333,-46.9168333333333,-140.610666666667,"SOTS",2020-12-19 15:08:00,"19/12/2020 15:08",40,30.867284,1234.69136,19755.06176
"38",264,"47  05.03 S","141  22.09 E","SOTS","RMT16",16,"Meso","Day",2020-12-18 01:07:00,-46.9161666666667,"18/12/2020 1:07",-140.631833333333,-46.9093333333333,-140.643333333333,"SOTS",2020-12-18 01:47:00,"18/12/2020 1:47",40,30.867284,1234.69136,19755.06176
"39",284,"47  05.07 S","141  21.91 E","SOTS","RMT16",17,"Epi","Night",2020-12-18 11:21:00,-46.9155,"18/12/2020 11:21",-140.634833333333,-46.9163333333333,-140.643166666667,"SOTS",2020-12-18 12:01:00,"18/12/2020 12:01",40,30.867284,1234.69136,19755.06176
"40",289,"47  05.14 S","141  21.68 E","SOTS","RMT16",19,"200-100m_scattering_layer","Day",2020-12-19 04:15:00,-46.9143333333333,"19/12/2020 4:15",-140.638666666667,-46.9153333333333,-140.6495,"SOTS",2020-12-19 04:35:00,"19/12/2020 4:35",20,30.867284,617.34568,9877.53088
"41",258,"47  05.41 S","141  21.78 E","SOTS","RMT16",13,"Lmeso","Night",2020-12-15 11:46:00,-46.9098333333333,"15/12/2020 11:46",-140.637,-46.8858333333333,-140.659833333333,"SOTS",2020-12-15 13:46:00,"15/12/2020 13:46",120,30.867284,3704.07408,59265.18528
"42",260,"47  05.53 S","141  21.24 E","SOTS","RMT16",14,"Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"43",248,"47  05.8 S","141  23.16 E","SOTS","RMT16",7,"Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"44",244,"47  06.59 S","141  23.18 E","SOTS","RMT16",5,"Epi","Night",2020-12-10 16:55:00,-46.8901666666667,"10/12/2020 16:55",-140.613666666667,-46.8816666666667,-140.629833333333,"SOTS",2020-12-10 17:35:00,"10/12/2020 17:35",40,30.867284,1234.69136,19755.06176
"45",246,"47  06.84 S","141  22.77 E","SOTS","RMT16",6,"Lmeso","Night",2020-12-11 11:49:00,-46.886,"11/12/2020 11:49",-140.6205,-46.8473333333333,-140.678333333333,"SOTS",2020-12-11 13:49:00,"11/12/2020 13:49",120,30.867284,3704.07408,59265.18528
"46",242,"47  07.17 S","141  22.36 E","SOTS","RMT16",3,"Meso","Day",2020-12-10 02:28:00,-46.8805,"10/12/2020 2:28",-140.627333333333,-46.8716666666667,-140.644,"SOTS",2020-12-10 03:08:00,"10/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"47",240,"44  45.13 S","145  22.94 E","Trawl","RMT16",1,"Integrated","Day",2020-12-05 09:16:00,-43.2478333333333,"5/12/2020 9:16",-144.617666666667,-43.2748333333333,-144.642833333333,"Trawl",2020-12-05 10:36:00,"5/12/2020 10:36",80,30.867284,2469.38272,39510.12352
